epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fallow,precision_misc.,precision_orchards,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_barley,recall_wheat,recall_fallow,recall_misc.,recall_orchards,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
31,0.7347590612414943,0.6829307825807754,0.7347590612414943,0.6200611019729099,0.7611205611487292,0.7347590612414943,0.7056541855086866,0.7347590612414943,0.7347590612414943,0.6469284618544963,0.8587882028813639,0.6442863733857777,0.581081081081081,0.9643034209221616,0.1377049180327869,0.5621301775147929,0.17340286831812254,0.9111328125,0.578125,0.9748490945674044,0.9396267837541163,0.86,0.9720139930034982,0.63,0.19,0.6683417085427136,0.4665,0.74,0.968031968031968,0.856,1.0057492,0.8023975,443227968,14183294976,230.487863779068,102025
32,0.7757255936675461,0.726742907527749,0.775725593667546,0.6477254274078509,0.7965385928717533,0.7757255936675461,0.701807611397412,0.7757255936675461,0.7757255936675461,0.658875084439685,0.8497252724417406,0.6503063293862573,0.6916666666666667,0.9478512795750845,0.14523809523809525,0.5539906103286385,0.23342175066312998,0.8787248787248787,0.5460750853242321,0.9885892116182573,0.9443181818181818,0.83,0.9810094952523738,0.61,0.236,0.44221105527638194,0.634,0.8,0.952047952047952,0.831,0.95952326,0.7327199,443227968,14626522944,222.20672297477722,102025
33,0.7587835022913484,0.7094145247702935,0.7587835022913484,0.6361532749078248,0.7827295649857247,0.7587835022913484,0.7088382409418286,0.7587835022913484,0.7587835022913484,0.6332665763291823,0.849253473313374,0.6655934041375501,0.5180722891566265,0.957983193277311,0.193717277486911,0.46684350132625996,0.15359116022099448,0.9057093425605537,0.58984375,0.9867075664621677,0.9269311064718163,0.86,0.9685157421289355,0.37,0.352,0.6984924623115578,0.5235,0.755,0.964035964035964,0.888,0.9630921,0.77314204,443227968,15069750912,226.42467784881592,102025
34,0.775586724066102,0.7256572606978327,0.775586724066102,0.6378862551883125,0.7963961987188997,0.775586724066102,0.6841968611060021,0.775586724066102,0.775586724066102,0.6436803957597255,0.841590878561416,0.6426811617993483,0.6311475409836066,0.9436144578313252,0.1573187414500684,0.5018315018315018,0.21307506053268765,0.8701891715590345,0.5413533834586466,0.984472049689441,0.9501216545012166,0.77,0.9785107446276862,0.575,0.274,0.44221105527638194,0.667,0.72,0.9500499500499501,0.781,0.97274315,0.76161206,443227968,15512978880,230.08357954025269,102025
35,0.7590612414942369,0.7104891782318004,0.759061241494237,0.6525321249878444,0.7874792612125545,0.7590612414942369,0.7157099203789328,0.7590612414942369,0.7590612414942369,0.6649050292167218,0.8636511104334335,0.6746399116294902,0.7168141592920354,0.9738430583501007,0.18049792531120332,0.5015576323987538,0.15526046986721145,0.9218612818261633,0.6224899598393574,0.993704092339979,0.9181166837256909,0.81,0.9675162418790605,0.435,0.322,0.7638190954773869,0.525,0.775,0.9460539460539461,0.897,0.92186654,0.7683719,443227968,15956206848,225.1225106716156,102025
36,0.7371198444660464,0.6860759631846816,0.7371198444660464,0.6391822945092903,0.7701699298438727,0.7371198444660464,0.6929833247102728,0.7371198444660464,0.7371198444660464,0.6880408552291059,0.8710495104830673,0.6446661901816938,0.8481012658227848,0.9747856782652546,0.14494875549048317,0.5844748858447488,0.14165103189493433,0.9182266009852217,0.6624472573839663,0.9806320081549439,0.9371002132196162,0.67,0.9660169915042479,0.495,0.256,0.7587939698492462,0.466,0.785,0.961038961038961,0.879,0.9705718,0.8163729,443227968,16399434816,232.93436002731323,102025
37,0.764754895153451,0.7161002769178602,0.7647548951534511,0.6590941410878108,0.7919938208507232,0.764754895153451,0.7048623378266082,0.764754895153451,0.764754895153451,0.680275894543726,0.8602337730310466,0.6788575401335618,0.7954545454545454,0.9603330068560235,0.15641711229946523,0.4948453608247423,0.19722650231124808,0.9094719195305951,0.6915422885572139,0.972809667673716,0.9443826473859844,0.7,0.9800099950024987,0.585,0.384,0.6432160804020101,0.5425,0.695,0.965034965034965,0.849,0.8766949,0.75711566,443227968,16842662784,223.05839943885803,102025
38,0.8072489931953896,0.7624537033714123,0.8072489931953896,0.6665466207684373,0.8197203794742325,0.8072489931953896,0.7024272937662788,0.8072489931953896,0.8072489931953896,0.6675107628131095,0.8477656647851449,0.6595868453295687,0.6666666666666666,0.9503891050583657,0.18120805369127516,0.5708955223880597,0.23173277661795408,0.8612922347362182,0.625531914893617,0.989648033126294,0.9302325581395349,0.78,0.9765117441279361,0.405,0.306,0.5577889447236181,0.7265,0.735,0.955044955044955,0.88,0.94939756,0.6605885,443227968,17285890752,225.79615235328674,102025
39,0.7908623802249688,0.744530146754625,0.7908623802249688,0.6587385678020984,0.8135205010182387,0.7908623802249688,0.6898102809471686,0.7908623802249688,0.7908623802249688,0.6851932010221344,0.8579827440290759,0.6240824345023981,0.8846153846153846,0.9826442062276671,0.25949367088607594,0.5161290322580645,0.15513626834381553,0.8735705209656925,0.5756457564575646,0.9916142557651991,0.9278897136797455,0.69,0.9620189905047476,0.205,0.32,0.7437185929648241,0.6875,0.78,0.945054945054945,0.875,0.94012463,0.7211942,443227968,17729118720,226.6782021522522,102025
40,0.7905846410220803,0.7444350936196322,0.7905846410220803,0.669169973553921,0.8081840506483913,0.7905846410220803,0.7118875171150189,0.7905846410220803,0.7905846410220803,0.6693797988437884,0.8493390502233995,0.6788376310670302,0.7692307692307693,0.9417661097852028,0.1906779661016949,0.4701492537313433,0.2056239015817223,0.8933428775948461,0.6259259259259259,0.9917355371900827,0.935965848452508,0.7,0.9860069965017492,0.45,0.378,0.5879396984924623,0.624,0.845,0.9590409590409591,0.877,0.9576108,0.71948624,443227968,18172346688,224.9497606754303,102025
